Asset ID,Service,Asset Name,Category,Environment,Owner,Data Classification,CIA_Confidentiality (1-5),CIA_Integrity (1-5),CIA_Availability (1-5),Criticality (1-3),Dependencies,Primary Location,Vendor/Platform,Authentication,Notes
A0325,MES,MES Infrastructure 325,Infrastructure,Dev,Data Platform,Confidential,3,1,4,2,N/A,EU-West,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0326,ERP,ERP Third Party 326,Third Party,Dev,Manufacturing,Internal,4,4,3,1,N/A,US-West,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0327,MES,MES Application 327,Application,Prod,Manufacturing,Public,5,3,3,1,OT network,EU-West,Azure,SSO,Sample placeholder row; replace with real asset details.
A0328,Network Core,Network Core Application 328,Application,Test,Manufacturing,Restricted,1,4,5,2,N/A,US-East,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0329,Network Core,Network Core Database 329,Database,Test,IT Ops,Restricted,1,4,5,2,Azure SQL,On-prem DC,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0330,Endpoint Fleet,Endpoint Fleet Database 330,Database,Prod,Manufacturing,Confidential,2,4,4,3,On-prem,Factory,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0331,ERP,ERP Data Set 331,Data Set,Test,Data Platform,Restricted,5,2,1,1,SaaS,On-prem DC,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0332,Email,Email Database 332,Database,Dev,Manufacturing,Confidential,1,2,5,1,Filesystem,US-West,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0333,Email,Email Data Set 333,Data Set,Prod,Security,Confidential,5,3,2,2,OT network,US-West,AWS,Certificate,Sample placeholder row; replace with real asset details.
A0334,ERP,ERP Infrastructure 334,Infrastructure,Dev,IT Ops,Internal,2,4,4,2,OT network,US-West,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0335,Email,Email Application 335,Application,Test,Data Platform,Internal,2,4,1,1,Azure SQL,Factory,AWS,SSO,Sample placeholder row; replace with real asset details.
A0336,Customer Portal,Customer Portal Network 336,Network,Dev,Product,Confidential,2,4,4,1,Azure SQL,US-West,AWS,Local Accounts,Sample placeholder row; replace with real asset details.
A0337,Identity Platform,Identity Platform Application 337,Application,Dev,HR,Public,3,4,3,1,AWS RDS,Factory,AWS,Local Accounts,Sample placeholder row; replace with real asset details.
A0338,Identity Platform,Identity Platform Network 338,Network,Prod,HR,Restricted,1,4,3,3,OT network,US-East,GCP,MFA,Sample placeholder row; replace with real asset details.
A0339,Email,Email Data Set 339,Data Set,Test,Manufacturing,Restricted,4,2,5,2,Filesystem,EU-West,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0340,Identity Platform,Identity Platform OT 340,OT,Dev,IT Ops,Restricted,4,2,3,3,Azure SQL,Factory,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0341,Endpoint Fleet,Endpoint Fleet Application 341,Application,Test,HR,Restricted,2,1,1,2,Filesystem,US-West,Azure,MFA,Sample placeholder row; replace with real asset details.
A0342,Endpoint Fleet,Endpoint Fleet Database 342,Database,Test,IT Ops,Internal,2,3,3,3,OT network,Factory,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0343,Endpoint Fleet,Endpoint Fleet Data Set 343,Data Set,Dev,Security,Public,5,4,4,1,On-prem,EU-West,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0344,Network Core,Network Core Third Party 344,Third Party,Test,Data Platform,Restricted,1,5,1,3,AWS RDS,US-East,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0345,SOC Tooling,SOC Tooling Data Set 345,Data Set,Prod,Manufacturing,Restricted,2,5,3,1,N/A,US-West,GCP,Certificate,Sample placeholder row; replace with real asset details.
A0346,SOC Tooling,SOC Tooling Infrastructure 346,Infrastructure,Dev,Finance,Confidential,4,5,5,1,N/A,EU-West,Vendor Hosted,Certificate,Sample placeholder row; replace with real asset details.
A0347,Email,Email OT 347,OT,Dev,Finance,Restricted,1,3,3,1,N/A,On-prem DC,Vendor Hosted,MFA,Sample placeholder row; replace with real asset details.
A0348,Customer Portal,Customer Portal OT 348,OT,Prod,Data Platform,Confidential,2,4,4,1,SaaS,Factory,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0349,Network Core,Network Core Database 349,Database,Prod,Product,Restricted,2,2,3,1,Filesystem,US-East,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0350,SOC Tooling,SOC Tooling Infrastructure 350,Infrastructure,Prod,IT Ops,Confidential,4,5,1,2,Filesystem,US-West,Azure,MFA,Sample placeholder row; replace with real asset details.
